Id,key,name,synonyms,code,born_at,city_id,region_id,country_id,nationality_id,created_at,updated_at
113,enyeama,Enyeama,Vincent Enyeama,,1982-08-29,,,51,51,2014-10-17T00:54:06.2307210-04:00,2014-10-17T00:54:06.2307210-04:00
114,ejide,Ejide,Austin Ejide|Austine Amamchukwu Ejide,,1984-04-08,,,51,51,2014-10-17T00:54:06.2324690-04:00,2014-10-17T00:54:06.2324690-04:00
115,agbim,Agbim,Chigozie Agbim,,1984-11-28,,,51,51,2014-10-17T00:54:06.2343000-04:00,2014-10-17T00:54:06.2343000-04:00
116,danielakpeyi,Daniel Akpeyi,,,1986-08-03,,,51,51,2014-10-17T00:54:06.2399120-04:00,2014-10-17T00:54:06.2399120-04:00
117,oboabona,Oboabona,Godfrey Oboabona|Godfrey Itama Oboabona,,1990-08-16,,,51,51,2014-10-17T00:54:06.2431940-04:00,2014-10-17T00:54:06.2431940-04:00
118,echiejile,Echi̩jil̩,Elderson Uwa Echi̩jil̩,,1988-01-20,,,51,51,2014-10-17T00:54:06.2449840-04:00,2014-10-17T00:54:06.2449840-04:00
119,ambrose,Ambrose,Efe Ambrose,,1988-10-18,,,51,51,2014-10-17T00:54:06.2468710-04:00,2014-10-17T00:54:06.2468710-04:00
120,egwuekwe,Egwuekwe,Azubuike Egwuekwe|Azubuike Emanuel Egwuekwe,,1988-11-28,,,51,51,2014-10-17T00:54:06.2491380-04:00,2014-10-17T00:54:06.2491380-04:00
121,kwambe,Kwambe,Solomon Kwambe|Solomon Sesugh Kwambe,,1993-09-30,,,51,51,2014-10-17T00:54:06.2512890-04:00,2014-10-17T00:54:06.2512890-04:00
122,benjamin,Benjamin,Francis Benjamin|Francis Ishida Benjamin,,1993-06-20,,,51,51,2014-10-17T00:54:06.2532600-04:00,2014-10-17T00:54:06.2532600-04:00
123,omeruo,Omeruo,Kenneth Omeruo|Kenneth Josiah Omeruo,,1993-10-17,,,51,51,2014-10-17T00:54:06.2551000-04:00,2014-10-17T00:54:06.2551000-04:00
124,josephyobo,Joseph Yobo,,,1980-09-06,,,51,51,2014-10-17T00:54:06.2567170-04:00,2014-10-17T00:54:06.2567170-04:00
125,juwonoshaniwa,Juwon Oshaniwa,,,1990-09-14,,,51,51,2014-10-17T00:54:06.2584220-04:00,2014-10-17T00:54:06.2584220-04:00
126,kunleodunlami,Kunle Odunlami,,,1990-03-05,,,51,51,2014-10-17T00:54:06.2600550-04:00,2014-10-17T00:54:06.2600550-04:00
