Id,name,kind,lat,lng,created_at,updated_at
187,Irland,CNTY,,,2014-10-17T00:53:51.8109570-04:00,2014-10-17T00:53:51.8109570-04:00
188,Italy,CNTY,,,2014-10-17T00:53:51.8225180-04:00,2014-10-17T00:53:51.8225180-04:00
189,Luxembourg,CNTY,,,2014-10-17T00:53:51.8298140-04:00,2014-10-17T00:53:51.8298140-04:00
190,Malta,CNTY,,,2014-10-17T00:53:51.8393500-04:00,2014-10-17T00:53:51.8393500-04:00
191,Netherlands,CNTY,,,2014-10-17T00:53:51.8490270-04:00,2014-10-17T00:53:51.8490270-04:00
192,Portugal,CNTY,,,2014-10-17T00:53:51.8591890-04:00,2014-10-17T00:53:51.8591890-04:00
193,Slovakia,CNTY,,,2014-10-17T00:53:51.8664110-04:00,2014-10-17T00:53:51.8664110-04:00
194,Slovenia,CNTY,,,2014-10-17T00:53:51.8768820-04:00,2014-10-17T00:53:51.8768820-04:00
195,Bulgaria,CNTY,,,2014-10-17T00:53:51.8857290-04:00,2014-10-17T00:53:51.8857290-04:00
196,Denmark,CNTY,,,2014-10-17T00:53:51.8949610-04:00,2014-10-17T00:53:51.8949610-04:00
197,Latvija [Latvia],CNTY,,,2014-10-17T00:53:51.9056410-04:00,2014-10-17T00:53:51.9056410-04:00
198,Lithuania,CNTY,,,2014-10-17T00:53:51.9148410-04:00,2014-10-17T00:53:51.9148410-04:00
199,Poland,CNTY,,,2014-10-17T00:53:51.9244990-04:00,2014-10-17T00:53:51.9244990-04:00
200,Romania,CNTY,,,2014-10-17T00:53:51.9320320-04:00,2014-10-17T00:53:51.9320320-04:00
201,Sweden,CNTY,,,2014-10-17T00:53:51.9415200-04:00,2014-10-17T00:53:51.9415200-04:00
202,Czech Republic,CNTY,,,2014-10-17T00:53:51.9525820-04:00,2014-10-17T00:53:51.9525820-04:00
203,Hungary,CNTY,,,2014-10-17T00:53:51.9595860-04:00,2014-10-17T00:53:51.9595860-04:00
204,Great Britain,CNTY,,,2014-10-17T00:53:51.9670320-04:00,2014-10-17T00:53:51.9670320-04:00
205,Andorra,CNTY,,,2014-10-17T00:53:51.9798680-04:00,2014-10-17T00:53:51.9798680-04:00
206,Albania,CNTY,,,2014-10-17T00:53:51.9864330-04:00,2014-10-17T00:53:51.9864330-04:00
207,Belarus,CNTY,,,2014-10-17T00:53:51.9969690-04:00,2014-10-17T00:53:51.9969690-04:00
208,Switzerland,CNTY,,,2014-10-17T00:53:52.0042230-04:00,2014-10-17T00:53:52.0042230-04:00
209,Croatia,CNTY,,,2014-10-17T00:53:52.0135910-04:00,2014-10-17T00:53:52.0135910-04:00
210,Serbia,CNTY,,,2014-10-17T00:53:52.0246900-04:00,2014-10-17T00:53:52.0246900-04:00
211,Russia,CNTY,,,2014-10-17T00:53:52.0363730-04:00,2014-10-17T00:53:52.0363730-04:00
212,Turkey,CNTY,,,2014-10-17T00:53:52.0475780-04:00,2014-10-17T00:53:52.0475780-04:00
213,Ukraine,CNTY,,,2014-10-17T00:53:52.0570900-04:00,2014-10-17T00:53:52.0570900-04:00
214,Macedonia,CNTY,,,2014-10-17T00:53:52.0641560-04:00,2014-10-17T00:53:52.0641560-04:00
215,Norway,CNTY,,,2014-10-17T00:53:52.0751260-04:00,2014-10-17T00:53:52.0751260-04:00
216,Iceland,CNTY,,,2014-10-17T00:53:52.0861940-04:00,2014-10-17T00:53:52.0861940-04:00
217,Vatican City,CNTY,,,2014-10-17T00:53:52.0981350-04:00,2014-10-17T00:53:52.0981350-04:00
218,Vatican City,CITY,,,2014-10-17T00:53:52.1008890-04:00,2014-10-17T00:53:52.1008890-04:00
219,Bosnia and Herzegovina,CNTY,,,2014-10-17T00:53:52.1075110-04:00,2014-10-17T00:53:52.1075110-04:00
220,Sarajevo,CITY,,,2014-10-17T00:53:52.1101240-04:00,2014-10-17T00:53:52.1101240-04:00
221,Liechtenstein,CNTY,,,2014-10-17T00:53:52.1211090-04:00,2014-10-17T00:53:52.1211090-04:00
222,Vaduz,CITY,,,2014-10-17T00:53:52.1237320-04:00,2014-10-17T00:53:52.1237320-04:00
223,Monaco,CNTY,,,2014-10-17T00:53:52.1309950-04:00,2014-10-17T00:53:52.1309950-04:00
224,Monaco,CITY,,,2014-10-17T00:53:52.1335680-04:00,2014-10-17T00:53:52.1335680-04:00
225,Montenegro,CNTY,,,2014-10-17T00:53:52.1406020-04:00,2014-10-17T00:53:52.1406020-04:00
226,Podgorica,CITY,,,2014-10-17T00:53:52.1431370-04:00,2014-10-17T00:53:52.1431370-04:00
227,Moldova,CNTY,,,2014-10-17T00:53:52.1557150-04:00,2014-10-17T00:53:52.1557150-04:00
228,ChiÈ™inÄƒu,CITY,,,2014-10-17T00:53:52.1584560-04:00,2014-10-17T00:53:52.1584560-04:00
229,San Marino,CNTY,,,2014-10-17T00:53:52.1655750-04:00,2014-10-17T00:53:52.1655750-04:00
230,(City of) San Marino,CITY,,,2014-10-17T00:53:52.1682030-04:00,2014-10-17T00:53:52.1682030-04:00
231,Georgia,CNTY,,,2014-10-17T00:53:52.1750940-04:00,2014-10-17T00:53:52.1750940-04:00
232,Armenia,CNTY,,,2014-10-17T00:53:52.1857590-04:00,2014-10-17T00:53:52.1857590-04:00
233,Azerbaijan,CNTY,,,2014-10-17T00:53:52.1951130-04:00,2014-10-17T00:53:52.1951130-04:00
234,BakÄ± [Baku],MTRO,,,2014-10-17T00:53:52.1977830-04:00,2014-10-17T00:53:54.9430270-04:00
235,Bahrain,CNTY,,,2014-10-17T00:53:52.2115740-04:00,2014-10-17T00:53:52.2115740-04:00
236,Manama,CITY,,,2014-10-17T00:53:52.2140380-04:00,2014-10-17T00:53:52.2140380-04:00
237,Kuwait,CNTY,,,2014-10-17T00:53:52.2350080-04:00,2014-10-17T00:53:52.2350080-04:00
238,Kuwait City,CITY,,,2014-10-17T00:53:52.2376500-04:00,2014-10-17T00:53:52.2376500-04:00
239,Oman,CNTY,,,2014-10-17T00:53:52.2547380-04:00,2014-10-17T00:53:52.2547380-04:00
240,Muscat,CITY,,,2014-10-17T00:53:52.2572270-04:00,2014-10-17T00:53:52.2572270-04:00
241,Qatar,CNTY,,,2014-10-17T00:53:52.2780690-04:00,2014-10-17T00:53:52.2780690-04:00
242,Doha,CITY,,,2014-10-17T00:53:52.2814270-04:00,2014-10-17T00:53:52.2814270-04:00
243,Saudi Arabia,CNTY,,,2014-10-17T00:53:52.2978760-04:00,2014-10-17T00:53:52.2978760-04:00
244,United Arab Emirates,CNTY,,,2014-10-17T00:53:52.3031660-04:00,2014-10-17T00:53:52.3031660-04:00
