Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
P1,25/10/13,Sp Braga,Academica,0,1,A,0,1,A,1.4,4.33,8.5,1.42,4.1,7.75,1.42,4,6.5,1.36,4.2,8,1.42,4.72,9.3,1.4,4.2,7.5,1.4,4.33,7.5,1.4,4.5,9,37,1.44,1.4,4.72,4.31,9.3,7.79,35,1.92,1.87,2,1.91,18,-1,1.73,1.69,2.31,2.2
P1,26/10/13,Olhanense,Arouca,1,0,H,0,0,D,2.6,3.1,2.8,2.55,2.9,2.9,2.4,3.1,2.7,2.55,2.9,2.7,2.68,3.14,2.95,2.45,2.9,3,2.5,3.13,2.8,2.7,3.12,2.88,36,2.7,2.54,3.2,3.06,3,2.8,26,2.51,2.38,1.6,1.52,17,0,1.89,1.84,2.04,1.99
P1,26/10/13,Rio Ave,Gil Vicente,0,1,A,0,0,D,1.83,3.4,4.5,1.75,3.2,4.4,1.7,3.4,4.3,1.75,3.3,4.33,1.85,3.51,4.85,1.75,3.3,4.6,1.83,3.25,4.5,1.83,3.5,4.8,34,1.91,1.82,3.51,3.29,4.85,4.42,32,2.2,2.11,1.77,1.7,16,-0.5,1.85,1.83,2.08,2.04
P1,26/10/13,Setubal,Belenenses,0,0,D,0,0,D,2.5,3.2,2.8,2.4,3.1,2.9,2.2,3.1,3,2.45,3.1,2.7,2.65,3.34,2.84,2.45,3.2,2.7,2.5,3.13,2.75,2.6,3.3,2.88,36,2.65,2.49,3.34,3.16,3.05,2.78,34,2.08,2,1.86,1.77,17,0,1.9,1.82,2.1,2.01
P1,27/10/13,Benfica,Nacional,2,0,H,1,0,H,1.29,5,12,1.25,5.5,10,1.25,4.8,9.5,1.28,5,9.5,1.32,5.57,10.5,1.25,5.5,9.5,1.29,5,9,1.3,5.5,11,36,1.32,1.28,5.57,5.19,12,9.49,22,1.58,1.53,2.5,2.4,17,-1.5,1.97,1.9,1.99,1.95
P1,27/10/13,Maritimo,Estoril,1,3,A,1,1,D,2.75,3.2,2.6,2.75,3.1,2.55,2.55,3,2.45,2.75,3,2.45,2.76,3.34,2.71,2.7,3.2,2.45,2.63,3.2,2.6,2.75,3.3,2.62,36,2.8,2.7,3.34,3.17,2.71,2.54,33,2.1,2.02,1.84,1.76,17,0,2.04,1.97,1.94,1.86
P1,27/10/13,Porto,Sp Lisbon,3,1,H,1,0,H,1.57,3.75,6,1.62,4,4.75,1.55,3.7,5,1.6,3.75,5,1.62,4.13,5.91,1.62,3.8,4.8,1.57,3.8,5.5,1.6,4.1,5.75,35,1.67,1.58,4.13,3.77,6,5.52,32,1.82,1.74,2.16,2.06,17,-1,2.07,2.01,1.89,1.84
P1,28/10/13,Pacos Ferreira,Guimaraes,1,3,A,1,1,D,2.25,3.2,3.3,2.2,3.2,3.2,2,3.2,3.3,2.15,3,3.3,2.38,3.25,3.31,2.25,3.1,3.1,2.25,3.13,3.2,2.25,3.2,3.12,34,2.38,2.22,3.3,3.16,3.5,3.17,30,2.32,2.16,1.72,1.66,16,-0.25,2.04,1.97,1.93,1.89
P1,01/11/13,Academica,Benfica,0,3,A,0,2,A,8,4.5,1.4,8,4.5,1.36,7.5,4.1,1.37,8,4,1.4,8.8,4.55,1.45,7.5,4.2,1.4,7.5,4.33,1.4,9,4.5,1.4,36,9,7.86,4.59,4.28,1.45,1.4,33,2.02,1.94,1.94,1.85,19,1,2.28,2.15,1.8,1.73
P1,02/11/13,Belenenses,Porto,1,1,D,1,1,D,11,4.5,1.33,8,5,1.33,8,4.2,1.33,10,4.75,1.3,11.69,5.14,1.33,10,4.75,1.29,8.5,4.8,1.33,11,5,1.33,35,11.69,9.18,5.16,4.8,1.35,1.32,32,1.88,1.8,2.08,1.98,18,1.5,1.85,1.8,2.11,2.05
P1,02/11/13,Sp Lisbon,Maritimo,3,2,H,1,2,A,1.36,4.5,9.5,1.4,4.5,7,1.35,4.2,7.5,1.4,4.2,7.5,1.38,4.93,9.89,1.44,4,7,1.36,4.5,7.5,1.4,4.8,9,34,1.44,1.37,4.93,4.52,9.89,7.62,32,1.83,1.76,2.12,2.02,16,-1.25,1.93,1.88,2.04,1.98
