Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Jose Hernandez,RSL,M,7,1,160,1,0,3,1,5,2,0,1,0
Carlos Cermeno,DAL,M,8,3,315,0,0,1,0,5,6,0,2,0
Jaime Villarreal,LA,D,7,4,374,0,0,2,1,5,1,1,1,0
Fidel Escobar,RBNY,D,6,5,482,0,1,7,1,5,4,0,2,0
Justin Davis,MIN,D,8,5,492,0,0,0,0,5,3,0,0,1
Tomas Martinez,HOU,M,9,5,501,2,0,18,5,5,13,1,2,0
Daigo Kobayashi,NE,M,12,4,507,1,0,5,2,5,4,0,0,0
Zoltan Stieber,DC,M-F,8,6,526,1,1,13,7,5,2,2,1,0
Jalen Robinson,DC,D,7,6,543,0,0,5,0,5,2,0,0,0
Kevin Kratz,ATL,M,20,5,590,1,1,8,2,5,11,1,1,0
Benoit Cheyrou,TOR,M,13,7,615,1,0,11,4,5,9,0,1,0
Bernie Ibini,VAN,M-F,17,7,629,1,2,18,5,5,13,1,0,0
Ronald Matarrita,NYC,D,12,8,696,0,3,2,0,5,3,1,3,0
Jonathan Campbell,CHI,D,24,8,1009,0,0,1,0,5,6,0,2,0
Chris Korb,DC,D,16,13,1160,0,1,2,0,5,10,0,0,0
Jacori Hayes,DAL,M,3,2,90,0,0,0,0,4,7,0,1,1
Nick DePuy,MTL,F,5,1,128,0,0,1,0,4,3,1,0,0
Adam Najem,PHI,M,5,1,153,0,0,1,0,4,2,0,0,0
Miguel Camargo,NYC,M,8,2,176,1,0,3,1,4,4,0,1,0
Brandon Vazquez,ATL,F,13,0,178,1,1,10,2,4,5,1,1,1
Mikey Ambrose,ATL,D,7,2,260,0,0,1,0,4,1,2,1,0
Tsubasa Endoh,TOR,F,4,3,269,0,1,2,1,4,5,0,0,0
Aaron Guillen,DAL,D,6,4,374,0,0,2,0,4,3,0,2,0
Sebastian Hines,ORL,D,6,5,443,1,0,7,2,4,3,0,1,1
Kevin Ellis,KC,D,5,5,450,0,0,1,0,4,2,0,1,0
Christian Dean,CHI,D,6,5,459,0,0,1,0,4,1,0,1,0
Jalil Anibaba,NE,D,8,4,462,0,0,2,1,4,2,0,0,0
Brad Evans,SKC,D-M,11,6,480,1,0,1,1,4,5,0,0,1
Álvaro Fernández,SEA,M,10,5,492,0,0,5,4,4,8,2,1,0
Kenwyne Jones,ATL,F,17,5,499,2,0,11,4,4,9,5,0,0
Lalas Abubakar,CLB,D,7,6,528,1,0,5,1,4,1,0,2,1
Kevin Venegas,MIN,D,6,6,540,0,0,0,0,4,5,0,0,0
Patrick Doody,CHI,D,7,7,629,0,4,1,0,4,3,0,0,0
Erik Palmer-Brown,KC,D,10,7,641,0,0,0,0,4,7,0,0,0
Jermaine Taylor,MIN,D,14,6,671,0,0,4,1,4,4,0,1,0
Marc Burch,MIN,D,18,17,1502,0,1,0,0,4,8,1,1,0
Victor Arboleda,POR,F-M,5,0,55,0,0,6,1,3,1,1,0,1
Seyi Adekoya,SEA,F,2,1,77,0,0,3,1,3,2,0,1,0
Ben McKendry,VAN,M,1,1,90,0,0,0,0,3,2,0,0,0
Femi Hollinger-Janzen,NE,F,13,1,148,0,0,6,2,3,0,4,0,0
Philippe Senderos,HOU,D,2,2,162,0,0,0,0,3,1,0,0,0
Krisztian Nemeth,NE,F,6,3,177,1,1,10,3,3,1,0,0,1
Julian Buescher,DC,M,7,2,180,0,0,4,1,3,5,0,0,0
Vincent Bezecourt,RBNY,M,3,2,190,0,1,3,1,3,0,0,0,0
Jack McInerney,LA,F,8,3,260,0,0,9,4,3,4,1,1,0
Vadim Demidov,MIN,D,3,3,270,0,0,2,0,3,2,0,0,0
Andraz Struna,NYC,D,5,4,322,0,1,3,0,3,3,0,1,0
Rasmus Schuller,MIN,M,7,4,324,0,0,4,0,3,4,0,1,0
Niko Hansen,CLB,M,14,3,401,1,2,7,2,3,5,0,0,0
Marco Farfan,POR,D,6,5,403,0,0,0,0,3,3,2,0,0
Ben Zemanski,POR,M,7,4,438,0,1,3,1,3,4,0,1,0
Francois Affolter,SJ,D,6,6,509,0,0,2,0,3,4,0,1,0
Jason Hernandez,TOR,D,8,5,526,0,0,0,0,3,2,0,0,0
Cristian Lobato,SKC,M,10,6,547,1,0,7,3,3,3,0,0,0
Marcus Epps,PHI,M,19,7,709,2,1,16,5,3,3,2,0,0
Kekuta Manneh,CLB,M-F,22,11,974,4,3,29,12,3,19,4,0,0
David Choiniere,MTL,M,3,0,34,0,0,0,0,2,1,1,0,0
Rob Vincent,DC,M-F,2,0,66,0,0,1,0,2,0,0,2,0
Nosa Igiebor,VAN,M,1,1,73,0,0,0,0,2,0,0,1,0
James Musa,SKC,D-M,1,1,90,0,0,1,1,2,0,0,1,0
Jordan Allen,RSL,M-F,2,2,113,0,0,3,1,2,2,0,0,0
Daniel Johnson,CHI,M,8,0,125,0,0,6,3,2,5,0,0,0
Jordan Hamilton,TOR,F,8,0,142,2,1,5,3,2,4,2,0,0
Mark Bloom,ATL,D,2,2,163,0,0,0,0,2,5,0,0,0
Walker Hume,DAL,F,2,2,180,0,0,0,0,2,1,0,1,0
Kevin Garcia,HOU,D,3,2,211,0,0,0,0,2,1,0,1,0
