date,time_est,day_of_week,home_club,home_initials,home_score,away_club,away_initials,away_score
18-Apr-2015,10:30PM EDT,Saturday,LA Galaxy,LA,,Sporting KC,SKC,
19-Apr-2015,5:00PM EDT,Sunday,Philadelphia,PHI,,New England,NE,
19-Apr-2015,7:00PM EDT,Sunday,New York City,NYC,,Portland,POR,
24-Apr-2015,8:00PM EDT,Friday,Chicago,CHI,,New York City,NYC,
24-Apr-2015,10:00PM EDT,Friday,Colorado,COL,,FC Dallas,FCD,
25-Apr-2015,TBD,Saturday,Vancouver,VAN,,D.C. United,DC,
25-Apr-2015,7:30PM EDT,Saturday,New England,NE,,Real Salt Lake,RSL,
25-Apr-2015,7:30PM EDT,Saturday,Columbus,CLB,,Philadelphia,PHI,
25-Apr-2015,8:30PM EDT,Saturday,Houston,HOU,,Sporting KC,SKC,
25-Apr-2015,10:30PM EDT,Saturday,San Jose,SJ,,Montreal,MON,
26-Apr-2015,5:00PM EDT,Sunday,NY Red Bulls,NYRB,,LA Galaxy,LA,
26-Apr-2015,7:00PM EDT,Sunday,Orlando,ORL,,Toronto FC,TOR,
26-Apr-2015,9:30PM EDT,Sunday,Seattle,SEA,,Portland,POR,
1-May-2015,8:00PM EDT,Friday,Houston,HOU,,FC Dallas,FCD,
1-May-2015,10:00PM EDT,Friday,Real Salt Lake,RSL,,San Jose,SJ,
2-May-2015,7:00PM EDT,Saturday,Philadelphia,PHI,,Toronto FC,TOR,
2-May-2015,7:00PM EDT,Saturday,D.C. United,DC,,Columbus,CLB,
2-May-2015,7:30PM EDT,Saturday,New England,NE,,NY Red Bulls,NYRB,
2-May-2015,10:30PM EDT,Saturday,Portland,POR,,Vancouver,VAN,
2-May-2015,10:30PM EDT,Saturday,LA Galaxy,LA,,Colorado,COL,
3-May-2015,5:00PM EDT,Sunday,Sporting KC,SKC,,Chicago,CHI,
3-May-2015,7:00PM EDT,Sunday,New York City,NYC,,Seattle,SEA,
5-May-2015,8:30PM EDT,Tuesday,Houston,HOU,,San Jose,SJ,
6-May-2015,9:30PM EDT,Wednesday,Real Salt Lake,RSL,,LA Galaxy,LA,
8-May-2015,8:00PM EDT,Friday,Orlando,ORL,,New England,NE,
8-May-2015,10:00PM EDT,Friday,Colorado,COL,,San Jose,SJ,
9-May-2015,TBD,Saturday,Montreal,MON,,Portland,POR,
9-May-2015,TBD,Saturday,Vancouver,VAN,,Philadelphia,PHI,
9-May-2015,3:00PM EDT,Saturday,Chicago,CHI,,Real Salt Lake,RSL,
9-May-2015,7:00PM EDT,Saturday,D.C. United,DC,,Sporting KC,SKC,
9-May-2015,7:30PM EDT,Saturday,Columbus,CLB,,Seattle,SEA,
9-May-2015,8:30PM EDT,Saturday,FC Dallas,FCD,,LA Galaxy,LA,
10-May-2015,5:00PM EDT,Sunday,Toronto FC,TOR,,Houston,HOU,
10-May-2015,7:00PM EDT,Sunday,NY Red Bulls,NYRB,,New York City,NYC,
13-May-2015,8:00PM EDT,Wednesday,D.C. United,DC,,Orlando,ORL,
15-May-2015,7:00PM EDT,Friday,New York City,NYC,,Chicago,CHI,
15-May-2015,9:00PM EDT,Friday,FC Dallas,FCD,,NY Red Bulls,NYRB,
16-May-2015,TBD,Saturday,Montreal,MON,,Real Salt Lake,RSL,
16-May-2015,TBD,Saturday,Vancouver,VAN,,Seattle,SEA,
16-May-2015,7:30PM EDT,Saturday,New England,NE,,Toronto FC,TOR,
16-May-2015,8:30PM EDT,Saturday,Houston,HOU,,Portland,POR,
16-May-2015,8:30PM EDT,Saturday,Sporting KC,SKC,,Colorado,COL,
16-May-2015,10:30PM EDT,Saturday,San Jose,SJ,,Columbus,CLB,
17-May-2015,5:00PM EDT,Sunday,Orlando,ORL,,LA Galaxy,LA,
17-May-2015,7:00PM EDT,Sunday,Philadelphia,PHI,,D.C. United,DC,
20-May-2015,8:00PM EDT,Wednesday,Sporting KC,SKC,,New England,NE,
22-May-2015,8:00PM EDT,Friday,Columbus,CLB,,Chicago,CHI,
22-May-2015,10:30PM EDT,Friday,LA Galaxy,LA,,Houston,HOU,
23-May-2015,TBD,Saturday,Seattle,SEA,,Sporting KC,SKC,
23-May-2015,TBD,Saturday,Montreal,MON,,FC Dallas,FCD,
23-May-2015,TBD,Saturday,Toronto FC,TOR,,Portland,POR,
23-May-2015,7:30PM EDT,Saturday,New England,NE,,D.C. United,DC,
23-May-2015,9:00PM EDT,Saturday,Colorado,COL,,Vancouver,VAN,
23-May-2015,10:00PM EDT,Saturday,Real Salt Lake,RSL,,New York City,NYC,
24-May-2015,5:00PM EDT,Sunday,NY Red Bulls,NYRB,,Philadelphia,PHI,
24-May-2015,7:00PM EDT,Sunday,San Jose,SJ,,Orlando,ORL,
27-May-2015,TBD,Wednesday,Seattle,SEA,,Colorado,COL,
27-May-2015,10:30PM EDT,Wednesday,LA Galaxy,LA,,Real Salt Lake,RSL,
27-May-2015,10:30PM EDT,Wednesday,Portland,POR,,D.C. United,DC,
29-May-2015,9:00PM EDT,Friday,Sporting KC,SKC,,FC Dallas,FCD,
30-May-2015,TBD,Saturday,Vancouver,VAN,,Real Salt Lake,RSL,
30-May-2015,TBD,Saturday,Toronto FC,TOR,,San Jose,SJ,
30-May-2015,TBD,Saturday,New York City,NYC,,Houston,HOU,
30-May-2015,7:00PM EDT,Saturday,D.C. United,DC,,Philadelphia,PHI,
30-May-2015,7:30PM EDT,Saturday,Orlando,ORL,,Columbus,CLB,
30-May-2015,8:30PM EDT,Saturday,Chicago,CHI,,Montreal,MON,
30-May-2015,9:00PM EDT,Saturday,Colorado,COL,,Portland,POR,
31-May-2015,5:00PM EDT,Sunday,Seattle,SEA,,NY Red Bulls,NYRB,
31-May-2015,7:00PM EDT,Sunday,New England,NE,,LA Galaxy,LA,
3-Jun-2015,TBD,Wednesday,Montreal,MON,,Vancouver,VAN,
3-Jun-2015,7:00PM EDT,Wednesday,D.C. United,DC,,Chicago,CHI,
3-Jun-2015,7:00PM EDT,Wednesday,Philadelphia,PHI,,Columbus,CLB,
5-Jun-2015,9:00PM EDT,Friday,Houston,HOU,,NY Red Bulls,NYRB,
6-Jun-2015,7:00PM EDT,Saturday,D.C. United,DC,,Toronto FC,TOR,
6-Jun-2015,7:00PM EDT,Saturday,Philadelphia,PHI,,New York City,NYC,
6-Jun-2015,7:30PM EDT,Saturday,Columbus,CLB,,Montreal,MON,
