Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
John Pulido,DAL,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Orlando Ramirez,SJ,F,0,0,0,0,0,0,0,0/0,0.0,0.0
Brett Rodriguez,SJ,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Marcos Romaneiro,NE,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Andy Rosenband,CHI,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Marcus Sagastume,COL,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Michael Nsien,LA,D,0,0,0,0,0,0,0,0/0,0.0,0.0
DeMetrius White,CHI,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Easton Wilson,NE,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Alex Woods,DAL,F-M,0,0,0,0,0,0,0,0/0,0.0,0.0
Mario Torres,DAL,M,0,0,0,0,0,0,0,0/0,0.0,0.0
James Twellman,SJ,D,0,0,0,0,0,0,0,0/0,0.0,0.0
Nick Van Sicklen,DC,M,0,0,0,0,0,0,0,0/0,0.0,0.0
Jason Thompson,DC,F,1,0,1,0,0,0,0,0/0,0.0,0.0
Amir Lowery,COL,M,1,0,1,0,0,0,0,0/0,0.0,0.0
Dustin Branan,KC,D,1,0,1,0,0,0,0,0/0,0.0,0.0
Jeff Larentowicz,ATL,M,1,0,1,0,0,0,0,0/0,0.0,0.0
Chris Wondolowski,SJ,F,2,0,5,0,0,0,0,0/0,0.0,0.0
Rodrigo López,CHV,M,1,0,5,0,0,0,0,0/0,0.0,0.0
Shawn Kuykendall,DC,M,2,0,10,0,0,0,0,0/0,0.0,0.0
Ryan Raybould,KC,D-M,1,0,10,0,0,0,0,0/0,0.0,0.0
Roger Levesque,SJ,M,1,0,11,0,0,0,0,0/0,0.0,0.0
Eric Quill,DAL,F,2,0,11,0,0,0,0,0/0,0.0,0.0
Josh Gardner,LA,M,1,0,13,0,0,0,0,0/0,0.0,0.0
Mike Munoz,CHV,M,1,0,15,0,0,0,0,0/0,0.0,0.0
Ty Maurin,DAL,M,3,0,16,0,0,0,0,0/0,0.0,0.0
Diego Walsh,KC,M,1,0,16,0,0,0,0,0/0,0.0,0.0
Eugene Sepuya,COL,F,1,0,18,0,0,0,0,0/0,0.0,0.0
Devin Barclay,CLB,F,1,0,19,0,0,0,0,0/0,0.0,0.0
Jamie Holmes,NE,F,1,0,20,0,0,0,0,0/0,0.0,0.0
Sasha Gotsmanov,COL,F,1,0,21,0,0,0,0,0/0,0.0,0.0
